1;0.71;0.62;0.57
0.2;0.29;0.09;0.21
0;0.58;0.43;0.19
0.33;0.2;0.23;0.19
0.67;1;0.75;1
0.5;0.15;0.53;0.43
0.08;0.12;0.24;0.3
0.5;0;0.33;0.22
0.1;0.22;0.18;0.08
0.4;0.27;0.25;0.18
0.25;0.29;0.21;0.13
0.5;0.2;0.31;0.13
0.67;1;0.29;0.8
0.25;0.11;0.5;0.25
0;0.21;0.32;0
1;0.31;0.33;0.67
1;0.3;0.31;0.57
0.5;0.21;0.38;1
0;0.22;0.16;0.33
0.67;0.1;0.22;0.27
1;0.71;0.75;0.8
0.1;0.17;0;0.09
0.67;0.26;0.22;0.4
0.67;0.27;0.26;0.57
0.33;0.18;0.18;0.27
1;0.56;0.71;0.8
0.17;0.25;0.29;0.23
0;0.1;0.26;0
0;0.13;0;0.13
1;0.16;0.29;0.44
0;0.29;0.24;0.25
0;0.11;0.3;0.14
0.5;0.1;0.42;0.5
0.33;0.12;0.14;0.18
1;0.27;0;0.5
0.25;0.15;0.28;0.29
0.33;1;1;0.67
0.33;0.4;0;0.44
0.25;0.44;0.14;0.31
0.25;0.16;0.35;0.25
0.5;0.33;0.54;0.33
0.5;0.5;0.18;0.21
0.4;0.24;0.27;0.24
0.5;0.71;0.32;1
0.5;0.56;0.45;0.57
0.5;0.29;0.27;0.27
0;0.31;0.32;1
0.33;0.11;0.17;0.31
0.33;0.36;0.13;0.17
0.67;0.56;0.38;0.67
1;0.25;0.38;0.57
0;0.19;0.09;1
0.25;0.27;0.31;0.36
0.33;0.14;0.1;0.17
0.33;0.44;0.22;0.21
0.5;0.12;0.23;0.22
0.2;0.44;0.18;0.3
1;0.36;0.19;0.2
0;0.3;0.14;0
0.5;0.24;0.17;0.5
0.29;0.2;0.15;0.27
0.08;0.18;0.32;0.14
0.33;0.42;0.14;0.33
0.67;0.24;0.33;0.31
0;0.31;0.35;0.36
0.67;0.44;0.38;0.67
0.5;0.21;0.27;0.12
1;1;0.75;1
0.67;0.31;0.33;0.4
1;0.2;0.15;0
0.2;0.27;0.3;0.36
0.33;0.31;0.21;0.33
1;0.36;0.31;0.8
0.67;0.5;0.63;1
0.25;0.17;0.22;0.22
1;0.56;0.23;0.2
0;0.11;0.18;0
1;0.13;0.14;0.14
0.17;0.14;0.24;0.21
0.67;0.15;0.11;0.44
0.33;0.17;0.33;0.22
0.67;0.25;0.1;0.21
0;0.5;0.18;1
0;0.17;0.23;0
1;0.63;0.4;0.44
1;0.14;0.32;0.57
1;1;0.59;0.57
0.5;0.27;0.07;0.27
0;0.15;0.27;0
0.25;0.15;0.28;0.27
0.33;0.29;0.53;0.5
0.5;0.31;0.25;0.23
0.2;0.23;0.24;0.29
0;0.21;0.14;0.29
0;0.44;0.25;0.5
1;0.3;0.13;0.21
0.5;0.29;0.25;0.18
0;0.11;0.08;0.25
0.67;0.5;0.41;0.75
0.17;0.1;0.13;0.15
0.5;0.31;0.5;0.25
0.67;0.43;0.47;0.67
0;0;0.1;0.15
0;0.2;0.09;0
1;0.13;0.27;0.5
0.67;0.44;0.24;0.6
0.33;0.17;0.4;0.22
0.25;0.25;0.3;0.17
0.2;0.18;0.11;0.22
1;0.45;0.55;0.4
0.67;0.36;0.24;0.8
0.5;0.29;0.17;0.75
0.67;0.29;0.42;0.5
0.67;0.67;0.6;1
0;0.28;0.46;0.2
0.25;0.21;0.11;0.19
1;0.16;0.38;0.6
0.5;0.2;0.29;0.5
0.67;0.17;0.2;0.27
0;0.18;0.06;0.22
0.4;0.22;0.24;0.36
0.25;0.33;0.2;0.4
0.67;0.5;0.25;0.3
1;0.71;0.75;0.44
0;0.22;0.19;0.33
0.5;0.67;0.75;1
0;0.4;0.19;1
1;0.57;0.5;0.57
1;0.43;0.26;0.8
0.33;0.4;0.43;0.8
0.29;0.21;0.13;0.17
0.5;0.16;0.18;0.2
0.5;0.63;0.38;0.5
0.25;0.33;0.4;0.15
0.33;0.24;0.1;0.17
1;0.63;0.67;0.38
1;0.83;0.48;0.57
0.5;0.2;0.32;0.4
0.14;0;0.21;0
